Date,Return,,D1,D2,D3,D4,D5
2/01/2012 0:00,-0.017095059,1,1,0,0,0,0
3/01/2012 0:00,0.014447329,2,0,1,0,0,0
4/01/2012 0:00,0.004186424,3,0,0,1,0,0
5/01/2012 0:00,0.006738484,4,0,0,0,1,0
6/01/2012 0:00,-0.001452506,5,0,0,0,0,1
9/01/2012 0:00,-0.003865292,1,1,0,0,0,0
10/01/2012 0:00,0.012027978,2,0,1,0,0,0
11/01/2012 0:00,0.001300173,3,0,0,1,0,0
12/01/2012 0:00,-0.00022677,4,0,0,0,1,0
13/01/2012 0:00,-0.000701559,5,0,0,0,0,1
16/01/2012 0:00,-0.01090932,1,1,0,0,0,0
17/01/2012 0:00,0.016400007,2,0,1,0,0,0
18/01/2012 0:00,0.001744734,3,0,0,1,0,0
30/01/2012 0:00,0.0237316,1,1,0,0,0,0
31/01/2012 0:00,0.014696903,2,0,1,0,0,0
1/02/2012 0:00,0.004265142,3,0,0,1,0,0
2/02/2012 0:00,0.013584243,4,0,0,0,1,0
3/02/2012 0:00,0.002939861,5,0,0,0,0,1
6/02/2012 0:00,0.001691047,1,1,0,0,0,0
7/02/2012 0:00,0.002528021,2,0,1,0,0,0
8/02/2012 0:00,0.020860558,3,0,0,1,0,0
9/02/2012 0:00,0.005179713,4,0,0,0,1,0
10/02/2012 0:00,-0.006150988,5,0,0,0,0,1
13/02/2012 0:00,0.006420251,1,1,0,0,0,0
14/02/2012 0:00,-0.003650076,2,0,1,0,0,0
15/02/2012 0:00,0.01525081,3,0,0,1,0,0
16/02/2012 0:00,-0.017076389,4,0,0,0,1,0
17/02/2012 0:00,0.003128596,5,0,0,0,0,1
20/02/2012 0:00,0.007629449,1,1,0,0,0,0
21/02/2012 0:00,-0.00419743,2,0,1,0,0,0
22/02/2012 0:00,0.01007096,3,0,0,1,0,0
23/02/2012 0:00,-0.008078399,4,0,0,0,1,0
24/02/2012 0:00,0.00277292,5,0,0,0,0,1
29/02/2012 0:00,0.020161409,3,0,0,1,0,0
1/03/2012 0:00,-0.000381791,4,0,0,0,1,0
2/03/2012 0:00,0.003160696,5,0,0,0,0,1
5/03/2012 0:00,-0.017252481,1,1,0,0,0,0
6/03/2012 0:00,-0.008376293,2,0,1,0,0,0
7/03/2012 0:00,-0.004405035,3,0,0,1,0,0
8/03/2012 0:00,0.010257117,4,0,0,0,1,0
9/03/2012 0:00,0.003931078,5,0,0,0,0,1
12/03/2012 0:00,-0.011096753,1,1,0,0,0,0
13/03/2012 0:00,0.013028516,2,0,1,0,0,0
14/03/2012 0:00,0.011605173,3,0,0,1,0,0
